Proceso,Procedimiento,Tarea,Objetivo (por que se hace),Estado,Responsable actual,Frecuencia,Tiempo estimado (min),Volumen mensual,Horas-persona/mes,Motivo si falta,Prioridad,Observaciones
Coordinacion de Guardia,Coordinacion de Guardia,Coordinacion de guardia CM,A completar,Se hace,RM,Semanal,15,4.33,No calcular aun,,,Dia/momento: Miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Coordinacion de Guardia,Coordinacion de Guardia,Agregar tecnico a guardia CM,A completar,Se hace,RM,Semanal,A confirmar,4.33,A confirmar,,,Dia/momento: Viernes. Tiempo ilegible en el PDF - confirmar
Coordinacion de Guardia,Coordinacion de Guardia,Sacar tecnico de guardia CM,A completar,Se hace,RM,Semanal,A confirmar,4.33,A confirmar,,,Dia/momento: Viernes. Tiempo ilegible en el PDF - confirmar
Ordenes de Servicio (OS),OS,Control e impresion de O.D.S.,A completar,Se hace,RM,Mensual,45,1,No calcular aun,,,Dia/momento: Primer jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Ordenes de Servicio (OS),OS,Control e impresion de etiquetas de baterias,A completar,Se hace,RM,Mensual,45,1,No calcular aun,,,Dia/momento: Tercer jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Ordenes de Servicio (OS),OS,Carga de N de ODS a Telegram,A completar,Se hace,RM,Semanal,15,4.33,No calcular aun,,,Dia/momento: Lunes. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Ordenes de Servicio (OS),OS,Carga de ODS a CM,A completar,Se hace,RM,Semanal,360,4.33,No calcular aun,,,Dia/momento: Lunes y Martes. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Ordenes de Servicio (OS),OS,Entrega de ODS a Administracion,A completar,Se hace,RM,Semanal,10,4.33,No calcular aun,,,Dia/momento: Lunes. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Ordenes de Servicio (OS),OS,Control de ODS cargadas y descuentos,A completar,Se hace,RM,Semanal,30,4.33,No calcular aun,,,Dia/momento: Lunes y Martes. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Cargar factura Personal Jasper,A completar,Se hace,RM,Mensual,15,1,No calcular aun,,,Dia/momento: Dia 13. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Cargar factura Movistar Smart,A completar,Se hace,RM,Mensual,15,1,No calcular aun,,,Dia/momento: Dia 13. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Cargar factura Claro Empleados,A completar,Se hace,RM,Mensual,15,1,No calcular aun,,,Dia/momento: Dia 13. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Cargar factura Claro M2M,A completar,Se hace,RM,Mensual,15,1,No calcular aun,,,Dia/momento: Dia 13. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Cargar factura Personal M2M,A completar,Se hace,RM,Mensual,15,1,No calcular aun,,,Dia/momento: Dia 17. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Cargar factura Claro Jasper,A completar,Se hace,RM,Mensual,15,1,No calcular aun,,,Dia/momento: Dia 17. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Analisis de factura de chips,A completar,Se hace,RM,Mensual,45,1,No calcular aun,,,Dia/momento: Dia 17. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Publicar resumen de gastos de chips,A completar,Se hace,RM,Mensual,15,1,No calcular aun,,,Dia/momento: Dia 17. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Control de chips,A completar,Se hace,RM,Semanal,45,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Solicitar baja de chips,A completar,Se hace,RM,Semanal,15,4.33,No calcular aun,,,Dia/momento: Viernes. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Recupero de chips,A completar,Se hace,RM,Semanal,15,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Chips (administrativo),N/A,Activar chips (altas de lineas moviles),A completar,Se hace,RM,Semanal,15,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Remoto de Equipos (REE),REE,Carga de REE en Manager2GO,A completar,Se hace,RM,Semanal,360,4.33,No calcular aun,,,Dia/momento: Miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Remoto de Equipos (REE),REE,Carga de chips en REE,A completar,Se hace,RM,Semanal,A confirmar,4.33,A confirmar,,,Dia/momento: Miercoles. Tiempo no relevado en el PDF - confirmar
Remoto de Equipos (REE),REE,Carga de baterias en REE,A completar,Se hace,RM,Semanal,A confirmar,4.33,A confirmar,,,Dia/momento: Miercoles. Tiempo no relevado en el PDF - confirmar
Remoto de Equipos (REE),REE,Pasar REE a carpeta 3,A completar,Se hace,RM,Semanal,360,4.33,No calcular aun,,,Dia/momento: Miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Remoto de Equipos (REE),REE,Entrega de REE a Administracion,A completar,Se hace,RM,Semanal,25,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Remoto de Equipos (REE),REE,Adjuntar facturas a remito Manager2,A completar,Se hace,RM,Semanal,30,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Flota (RM),N/A,Control ITV vehiculo AF061RG,A completar,Se hace,RM,Semestral,5,0.17,No calcular aun,,,Dia/momento: Nov/May. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Flota (RM),N/A,Control impuestos vehiculo AF061RG,A completar,Se hace,RM,Semestral,5,0.17,No calcular aun,,,Dia/momento: Nov/May. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Flota (RM),N/A,Control ITV vehiculo AC921LR,A completar,Se hace,RM,Semestral,5,0.17,No calcular aun,,,Dia/momento: Nov/May. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion de Flota (RM),N/A,Control impuestos vehiculo AC921LR,A completar,Se hace,RM,Semestral,5,0.17,No calcular aun,,,Dia/momento: Nov/May. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Gestion y Seguimiento de Clientes con Alta Recurrencia de Eventos (a confirmar nombre),Elaboracion y envio del informe semanal TOP10,Actualizar Base de Datos de clientes (previo al informe),A completar,Se hace,RM,Semanal,A confirmar,4.33,A confirmar,,,Dia/momento: Lunes. Tiempo no relevado en el PDF - confirmar
Preparacion y Directivas de ST (RM),N/A,Preparacion de equipos (ST),A completar,Se hace,RM,Diario,A confirmar,22,A confirmar,,,Tiempo no relevado en el PDF - confirmar
Preparacion y Directivas de ST (RM),N/A,Carga de directivas tecnicas,A completar,Se hace,RM,Semanal,A confirmar,4.33,A confirmar,,,Dia/momento: Lunes. Tiempo no relevado en el PDF - confirmar
Preparacion y Directivas de ST (RM),N/A,Entrega de directiva a Administracion,A completar,Se hace,RM,Semanal,15,4.33,No calcular aun,,,Dia/momento: Miercoles. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Preparacion y Directivas de ST (RM),N/A,Control de buen estado receptoras IPR512 (R-11),A completar,Se hace,RM,Diario,A confirmar,22,A confirmar,,,Tiempo no relevado en el PDF - confirmar
Preparacion y Directivas de ST (RM),N/A,Mandar mensajes a AVATEC 02,A completar,Se hace,RM,Diario,A confirmar,22,A confirmar,,,Tiempo no relevado en el PDF - confirmar
Tareas Reactivas (Interrupciones),N/A,Coordinar instalaciones NCS,A completar,Se hace,AB,Semanal,5,4.33,No calcular aun,,,Dia/momento: Interrupcion. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Tareas Reactivas (Interrupciones),N/A,Responder informes de Monitoreo,A completar,Se hace,RM,IntraDiario,60,22,No calcular aun,,,Dia/momento: Interrupcion. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Tareas Reactivas (Interrupciones),N/A,Responder informes de Pvillarreal (CM),A completar,Se hace,RM,IntraDiario,A confirmar,22,A confirmar,,,Dia/momento: Interrupcion. Tiempo no relevado en el PDF - confirmar
Tareas Reactivas (Interrupciones),N/A,Guardar y etiquetar stock que ingresa fuera de horario,A completar,Se hace,RM,Quincenal,120,2,No calcular aun,,,Dia/momento: Interrupcion. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Tareas Reactivas (Interrupciones),N/A,Recibir devolucion de instalacion (LM),A completar,Se hace,AB / RM,Semanal,20,4.33,No calcular aun,,,Dia/momento: Lunes. Responsable en el catalogo figura como LOG (sin persona especifica asignada) | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Tareas Reactivas (Interrupciones),N/A,Recibir devolucion de instalacion (AA),A completar,Se hace,AB / RM,Semanal,20,4.33,No calcular aun,,,Dia/momento: Lunes. Responsable en el catalogo figura como LOG (sin persona especifica asignada) | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Tareas Reactivas (Interrupciones),N/A,Atender telefono,A completar,Se hace,AB / RM,Diario,A confirmar,22,A confirmar,,,Dia/momento: Interrupcion. Responsable en el catalogo figura como LOG (sin persona especifica asignada)
Tareas Reactivas (Interrupciones),N/A,Atender tecnico en sitio,A completar,Se hace,AB / RM,Diario,A confirmar,22,A confirmar,,,Dia/momento: Interrupcion. Responsable en el catalogo figura como LOG (sin persona especifica asignada)
Tareas Reactivas (Interrupciones),N/A,Ingresar de forma remota por BabyWare,A completar,Se hace,AB / RM,IntraDiario,A confirmar,22,A confirmar,,,Dia/momento: Interrupcion. Responsable en el catalogo figura como LOG (sin persona especifica asignada)
Tareas Reactivas (Interrupciones),N/A,Mandar mensajes a Chips Jasper,A completar,Se hace,AB / RM,IntraDiario,A confirmar,22,A confirmar,,,Dia/momento: Interrupcion. Responsable en el catalogo figura como LOG (sin persona especifica asignada)
Tareas Reactivas (Interrupciones),N/A,Informar robo por Telegram,A completar,Se hace,AB / RM,IntraDiario,A confirmar,22,A confirmar,,,Dia/momento: Interrupcion. Responsable en el catalogo figura como LOG (sin persona especifica asignada)
Tareas Reactivas (Interrupciones),N/A,Atender llamadas de clientes (celular),A completar,Se hace,AB / RM,IntraDiario,A confirmar,22,A confirmar,,,Dia/momento: Interrupcion. Responsable en el catalogo figura como LOG (sin persona especifica asignada)
Tareas Reactivas (Interrupciones),N/A,Carga de Servicio Tecnico (coordinacion),A completar,Se hace,AB / RM,Diario,A confirmar,22,A confirmar,,,Responsable en el catalogo figura como LOG (sin persona especifica asignada)
Administracion General (AB),N/A,Actualizacion de Datacenter / servidores,A completar,Se hace,AB / RM,Mensual,A confirmar,1,A confirmar,,,Dia/momento: Primer dia. Responsable en el catalogo figura como LOG (sin persona especifica asignada)
Proceso de Cargas (nombre tentativo),Planificacion y Carga de la Hoja de Procesos Diarios,Rehacer hoja de Procesos Diarios,Planificar como se va a trabajar en el mes: que dia/horario se dedica a cada tarea,Se hace,AB,Mensual,60,1,No calcular aun,,,"Dia/momento: Ultimo dia. Nombre de proceso tentativo (JL, 18/08/2026). | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM"
Proceso de Cargas (nombre tentativo),Planificacion y Carga de la Hoja de Procesos Diarios,Rehacer hoja de Procesos Diarios,Planificar como se va a trabajar en el mes: que dia/horario se dedica a cada tarea,Se hace,RM,Mensual,A confirmar,1,A confirmar,,,No aparece en el catalogo de RM - confirmar si RM tambien la hace o es solo de AB
Proceso de Cargas (nombre tentativo),Planificacion y Carga de la Hoja de Procesos Diarios,Completar carga de Procesos Diarios,Marcar en la planilla que la tarea del dia ya se hizo,Se hace,AB,Diario,20,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Proceso de Cargas (nombre tentativo),Planificacion y Carga de la Hoja de Procesos Diarios,Completar carga de Procesos Diarios,Marcar en la planilla que la tarea del dia ya se hizo,Se hace,RM,Diario,5,22,No calcular aun,,,Dia/momento: Primer dia. Reubicada desde Rutina Administrativa Diaria (RM). | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Sin Proceso Asignado (a un costado),N/A,Subir publicidad en WhatsApp,A completar,Se hace,AB,Diario,5,22,No calcular aun,,,"Dia/momento: Primer dia. Tarea comun a todo el equipo de LOG - JL: 'no hay proceso, trabajar en los procesos mas adelante'. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM"
Sin Proceso Asignado (a un costado),N/A,Subir publicidad en WhatsApp,A completar,Se hace,RM,Diario,5,22,No calcular aun,,,Dia/momento: Primer dia. Reubicada desde Rutina Administrativa Diaria (RM). | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Sin Proceso Asignado (a un costado),N/A,Ordenar escritorio,Dejar el escritorio en blanco para que otra persona pueda usarlo,Se hace,AB,Diario,10,22,No calcular aun,,,Dia/momento: Primer dia. JL: deberian ser 15-20 min al final del dia; hoy complicado de cumplir. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Sin Proceso Asignado (a un costado),N/A,Ordenar escritorio,Dejar el escritorio en blanco para que otra persona pueda usarlo,Se hace,RM,Diario,10,22,No calcular aun,,,Dia/momento: Primer dia. Reubicada desde Rutina Administrativa Diaria (RM). | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Sin Proceso Asignado (a un costado),N/A,Preparacion de equipos de instalacion (ST),A completar,Se hace,AB,A Demanda,30,A confirmar,A confirmar,,,"JL: 'no se en que proceso pondria esta tarea' - depende de cuanto venda Comercial, entre 0 y varias por dia"
Ingreso Remoto a Clientes (proceso nuevo),Bloqueo y Desbloqueo - AXpro,Bloqueo de equipos AXpro,A completar,Se hace,AB,Semanal,30,4.33,No calcular aun,,,Dia/momento: Jueves. Proceso creado por JL el 18/08/2026 (antes estaba en 'Bloqueo y Desbloqueo de Equipos'). | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Ingreso Remoto a Clientes (proceso nuevo),Bloqueo y Desbloqueo - Paradox (remoto),"Bloqueo de equipos Paradox (PDX, remoto)",A completar,Se hace,AB,Semanal,30,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Ingreso Remoto a Clientes (proceso nuevo),Bloqueo y Desbloqueo - AXpro,Desbloqueo de equipos AXpro,A completar,Se hace,AB,Semanal,30,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Ingreso Remoto a Clientes (proceso nuevo),Bloqueo y Desbloqueo - Paradox (remoto),"Desbloqueo de equipos Paradox (PDX, remoto)",A completar,Se hace,AB,Semanal,30,4.33,No calcular aun,,,Dia/momento: Jueves. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Falla de Tests,Instructivo General (documento vinculado),Falla de Test - procedimiento general,A completar,Se hace,AB,Semanal,30,4.33,No calcular aun,,,Dia/momento: Lunes. Tiene instructivo en Drive vinculado. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Falla de Tests,Envio de Mail,Pendiente de cargar (gap),A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Procedimiento identificado por JL, sin tarea propia cargada todavia",Alta,JL (18/08/2026): dentro de Falla de Test hay que abrir este procedimiento por separado
Falla de Tests,Llamado a Clientes,Pendiente de cargar (gap),A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Procedimiento identificado por JL, sin tarea propia cargada todavia",Alta,JL (18/08/2026): dentro de Falla de Test hay que abrir este procedimiento por separado
Falla de Tests,Coordinacion de Servicios Tecnicos,Falla de Test - Coordinacion con ST,A completar,Se hace,AB,Diario,5,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Falla de Tests,Seguimiento de Servicios Tecnicos,Pendiente de cargar (gap),A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Procedimiento identificado por JL, sin tarea propia cargada todavia",Alta,JL (18/08/2026): distinto de 'coordinar' - es el seguimiento posterior
Falla de Tests,Analisis,Falla de Test - Analisis,A completar,Se hace,AB,Diario,60,22,No calcular aun,,,Dia/momento: Primer dia. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Offline,Instructivo General (documento vinculado),Offline - procedimiento general,A completar,Se hace,AB,Semanal,A confirmar,4.33,A confirmar,,,Tiene instructivo en Drive vinculado (Google Doc)
Offline,Offline de las 4,"Pendiente de cargar (gap): informe, analisis, coordinacion ST, mail semanal, objetivo",A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Procedimiento identificado por JL, sin tareas propias cargadas todavia",Alta,JL (18/08/2026): cada horario de offline tiene su propio informe/analisis/coordinacion/mail/objetivo
Offline,Offline de las 7,"Pendiente de cargar (gap): informe, analisis, coordinacion ST, mail semanal, objetivo",A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Procedimiento identificado por JL, sin tareas propias cargadas todavia",Alta,JL (18/08/2026)
Offline,Offline de las 11,"Pendiente de cargar (gap): informe, analisis, coordinacion ST, mail semanal, objetivo",A completar,Debería hacerse (falta),AB,A confirmar,A confirmar,A confirmar,A confirmar,"Procedimiento identificado por JL, sin tareas propias cargadas todavia",Alta,JL (18/08/2026)
Offline,Horario sin asignar (a confirmar cual de los 3),Offline - Analisis general,A completar,Se hace,AB,Diario,30,22,No calcular aun,,,"Dia/momento: Primer dia. Falta confirmar a cual horario (4, 7 u 11) corresponde. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM"
Offline,Horario sin asignar (a confirmar cual de los 3),Offline - Coordinacion con ST,A completar,Se hace,AB,Diario,5,22,No calcular aun,,,"Dia/momento: Primer dia. Falta confirmar a cual horario (4, 7 u 11) corresponde. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM"
Redes,Telefonia IP,Pendiente de desglose,A completar,Se hace,AB (Ariel Bazan),A confirmar,A confirmar,A confirmar,No calcular aun,,Alta,Procedimiento confirmado por JL (12/08/2026); sin tareas cargadas todavia
Redes,Camaras IP,Horario de Camaras,A completar,Se hace,AB (Ariel Bazan),Semanal,5,4.33,No calcular aun,,,Dia/momento: Viernes (segun catalogo). | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Redes,Computacion (todas las PCs),Norton (antivirus / seguridad),A completar,Se hace,AB (Ariel Bazan),Trimestral,240,0.33,No calcular aun,,,Dia/momento: Ene/Abr/Jul/Oct. Reubicada desde 'Administracion General (AB)'. JL sugiere separar a futuro 'Seguridad' (Norton) de 'Redes/IP' dentro de Computacion. | Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
Redes,Impresoras IP,Pendiente de desglose,A completar,Se hace,AB (Ariel Bazan),A confirmar,A confirmar,A confirmar,No calcular aun,,Alta,Procedimiento confirmado por JL (12/08/2026); sin tareas cargadas todavia
Stock,Recepcion y Control de Stock Entrante,Conteo de stock recibido,A completar,Se hace,AB,Semanal,60,4.33,No calcular aun,,,Tiempo de origen (planilla Procesos Diarios) sin validar - no usar para calcular horas hasta confirmar con AB/RM
